goos: linux
goarch: amd64
pkg: cw
cpu: AMD Ryzen 5 5500U with Radeon Graphics         
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   72282	     15873 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   71037	     16439 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   69788	     15863 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   70628	     16024 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   71247	     16096 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   66253	     15780 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   67272	     16002 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   67402	     15981 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   67772	     16054 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   69052	     15905 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   70682	     16695 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   69709	     16198 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   68863	     15960 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   71322	     16152 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   71838	     16063 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   67332	     16185 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   71154	     16257 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   70009	     16044 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   69405	     16136 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   71116	     15953 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   67332	     15993 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   67652	     16042 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   64862	     16104 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   71936	     16274 ns/op	     823 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   65726	     15925 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   66195	     16151 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   72804	     16079 ns/op	     822 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   70258	     15936 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   65216	     15997 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   65108	     16001 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   65872	     16330 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   67174	     16175 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   67323	     16174 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   65071	     15945 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   66303	     16173 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   63967	     15990 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   66537	     16177 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   66728	     16188 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   66261	     16004 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   62577	     16397 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   66957	     16083 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   63860	     16290 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   66378	     16301 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   64461	     16113 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   63772	     16043 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   63856	     16197 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   67194	     16174 ns/op	     827 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   65404	     16231 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   66688	     16141 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   63704	     16181 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   63002	     16422 ns/op	     833 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   65550	     16183 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   62799	     16371 ns/op	     833 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   66387	     16319 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   63746	     16222 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   65223	     16379 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   63320	     16158 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   65641	     16326 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   66348	     16182 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   64903	     16291 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   66402	     16430 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   62497	     16346 ns/op	     833 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   64731	     16426 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   63038	     16382 ns/op	     833 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   65972	     16333 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   65607	     16477 ns/op	     842 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   62239	     16652 ns/op	     836 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   65497	     16465 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   65161	     16501 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   65031	     16555 ns/op	     835 B/op	      16 allocs/op
