goos: linux
goarch: amd64
pkg: cw
cpu: AMD Ryzen 5 5500U with Radeon Graphics         
BenchmarkDBWithConcurrencyNEW/450_workers-12         	   48382	     21102 ns/op	     822 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/450_workers-12         	   51867	     21559 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/450_workers-12         	   52857	     21954 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/450_workers-12         	   55291	     22065 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/450_workers-12         	   46162	     28296 ns/op	     823 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   43868	     25445 ns/op	     833 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   38522	     28320 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   50220	     24234 ns/op	     823 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   48591	     24376 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   49418	     23876 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   50689	     24279 ns/op	     823 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   45290	     22406 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   48237	     21946 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   47205	     23263 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   53967	     22608 ns/op	     822 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   47745	     22218 ns/op	     827 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   53899	     22416 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   56524	     25002 ns/op	     823 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   48472	     25441 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   41854	     30006 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   52143	     21502 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   53439	     20658 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   46971	     21646 ns/op	     826 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   53572	     24771 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   53316	     21922 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   50607	     22687 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   51900	     22104 ns/op	     827 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   49164	     22385 ns/op	     827 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   54024	     24051 ns/op	     826 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   54195	     23309 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   51003	     22390 ns/op	     827 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   54061	     24980 ns/op	     826 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   50451	     25888 ns/op	     827 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   49027	     22836 ns/op	     828 B/op	      16 allocs/op
